iter	Passed	Remaining
199	408	1632
200	409	1627
201	410	1622
202	412	1619
203	414	1615
204	415	1610
205	416	1606
206	418	1601
207	419	1597
208	420	1592
209	421	1587
210	423	1582
211	424	1577
212	425	1573
213	427	1570
214	429	1567
215	430	1562
216	431	1558
217	433	1553
218	434	1549
219	435	1545
220	437	1541
221	438	1536
222	439	1532
223	441	1527
224	442	1523
225	443	1519
226	444	1514
227	445	1509
228	446	1504
229	448	1499
230	449	1495
231	450	1490
232	451	1486
233	452	1481
234	453	1477
235	454	1472
236	456	1468
237	457	1464
238	458	1460
239	459	1456
240	460	1451
241	462	1447
242	463	1443
243	464	1439
244	465	1435
245	467	1431
246	468	1427
247	469	1423
248	470	1419
249	471	1415
250	473	1411
251	474	1407
252	475	1403
253	476	1399
254	477	1395
255	478	1391
256	479	1387
257	481	1383
258	482	1379
259	483	1375
260	484	1371
261	485	1367
262	486	1364
263	488	1360
264	489	1357
265	490	1353
266	491	1349
267	492	1345
268	493	1341
269	494	1338
270	496	1334
271	497	1330
272	498	1327
273	500	1324
274	501	1321
275	502	1318
276	504	1315
277	505	1312
278	506	1309
279	507	1305
280	509	1302
281	510	1299
282	511	1296
283	512	1293
284	514	1289
285	515	1286
286	516	1283
287	518	1281
288	519	1278
289	520	1275
290	522	1272
291	523	1269
292	524	1266
293	526	1263
294	527	1260
295	528	1257
296	530	1254
297	531	1252
298	532	1249
299	534	1246
300	535	1244
301	537	1241
302	538	1238
303	539	1235
304	541	1232
305	542	1230
306	543	1227
307	544	1224
308	546	1221
309	547	1218
310	549	1216
311	550	1213
312	551	1210
313	552	1208
314	554	1205
315	555	1202
316	556	1199
317	557	1196
318	559	1193
319	560	1190
320	561	1188
321	563	1185
322	564	1183
323	566	1181
324	567	1178
325	568	1175
326	569	1173
327	571	1170
328	572	1167
329	573	1164
330	574	1161
331	576	1158
332	577	1156
333	579	1154
334	580	1152
335	581	1149
336	583	1147
337	584	1144
338	585	1141
339	586	1139
340	588	1136
341	589	1133
342	590	1131
343	591	1128
344	593	1126
345	594	1124
346	596	1121
347	597	1119
348	598	1116
349	599	1113
350	601	1111
351	602	1108
352	603	1106
353	604	1103
354	606	1101
355	607	1099
356	609	1097
357	610	1095
358	612	1092
359	613	1090
360	614	1087
361	615	1085
362	617	1082
363	618	1080
364	619	1078
365	620	1075
366	622	1073
367	623	1071
368	625	1069
369	626	1067
370	628	1065
371	629	1062
372	630	1060
373	632	1058
374	633	1055
375	634	1053
376	635	1050
377	637	1048
378	638	1046
379	640	1044
380	641	1042
381	643	1040
382	644	1037
383	645	1035
384	646	1033
385	648	1031
386	649	1028
387	650	1026
388	652	1024
389	653	1022
390	654	1020
391	656	1017
392	657	1015
393	658	1013
394	660	1010
395	661	1008
396	662	1006
397	663	1003
398	665	1001
399	666	999
400	667	997
401	668	995
402	670	992
403	671	991
404	673	988
405	674	986
406	675	984
407	676	982
408	678	980
409	679	978
410	680	975
411	682	974
412	683	971
413	685	969
414	686	967
415	687	965
416	688	963
417	690	960
418	691	958
419	692	956
420	693	954
421	694	951
422	696	949
423	697	947
424	698	945
425	700	943
426	701	940
427	702	938
428	703	936
429	705	934
430	706	932
431	707	929
432	708	927
433	709	925
434	710	923
435	712	921
436	713	919
437	714	917
438	716	915
439	717	913
440	718	911
441	720	909
442	721	906
443	722	904
444	723	902
445	724	900
446	726	898
447	727	896
448	728	894
449	730	892
450	731	890
451	732	888
452	733	886
453	735	884
454	736	882
455	737	880
456	738	877
457	740	875
458	741	873
459	742	871
460	744	870
461	745	867
462	746	865
463	747	863
